run,learner_id,country,age_range,highest_education_level,started_course,steps_completed,max_week_completed,last_week,early_dropout,id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
6,f7923146-7a87-4db6-9ef5-592dcaefdfd7,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,ee51e5d5-92b7-40ac-a9e0-af0cd67e8268,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,4a43f96b-2ebe-48ed-9be5-cf6e6c990c9c,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,77f46ed5-58fb-48ec-8053-85149fa2db81,NA,NA,NA,TRUE,5,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,89665c40-925a-4edd-824c-ebfb1d25e5d8,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,9985364a-e078-4c9a-8d83-0809bba000d0,NA,NA,NA,TRUE,22,2,2,Later,NA,NA,NA,NA,NA,NA,NA
6,a34da361-4f30-4318-bc44-08c5a14101f0,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,0d206832-eca6-4894-8153-1603904fa76e,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,1dcd9042-828d-4519-9ea7-445f0b6e2a7d,NA,NA,NA,TRUE,2,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,d4625c22-0e6c-420e-8522-b75395bf17f6,LS,46-55,tertiary,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,99bc8391-fd39-4e4c-9426-2e2f1e174bd8,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,3d72218b-fa48-41ee-9006-4a2e3753b991,NA,NA,NA,TRUE,22,2,2,Later,NA,NA,NA,NA,NA,NA,NA
6,34df29ab-a2c6-4d35-9916-5d25f553c33e,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,7b954b7a-b386-4b8b-b43e-1c25444f0108,NA,NA,NA,TRUE,2,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,789488bc-15b8-4e32-b2a6-9a279d7a194c,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,afebffbf-cb43-460e-ba97-059b0a917694,NA,NA,NA,TRUE,60,3,3,Later,NA,NA,NA,NA,NA,NA,NA
6,19db8e24-3171-4d36-ae58-1eaf0870cbac,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,2d9227d5-de6a-4bfe-8915-6d093c051417,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,5fcb9c1c-ac1c-42ae-a2d4-e795bd31ade1,NA,NA,NA,TRUE,3,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,b0be0a24-d7bd-4230-9f39-b2bc4eb42a47,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,6462bb2d-c829-4a7d-8cfe-24cd01709af5,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,34c48d7b-0ab8-4fd9-be50-710af07ca141,NA,NA,NA,TRUE,42,2,2,Later,NA,NA,NA,NA,NA,NA,NA
6,dbdb66e9-b5d9-4ff1-a2d4-3b0c3db41c60,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,fb9f8cb3-9ed9-4410-9519-8e91bf9f1216,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,5f95adb4-bfbf-4c7c-8b96-76241ecf3398,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,2201f85c-f540-4c0f-8d20-49c085906ff0,NA,NA,NA,TRUE,4,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,f3821b20-c152-48ac-807d-b6386ce2d46b,NA,NA,NA,TRUE,5,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,d431a81c-3737-4d1e-97fd-236ace2afa7b,NA,NA,NA,TRUE,4,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,761f0138-bc53-47a4-8aa4-430b0fe926b3,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,7ebfd23a-e982-4006-9e77-bc0e33040357,IN,18-25,university_degree,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,06b5ade4-0af8-495e-82fb-0abe70c3cc2d,NA,NA,NA,TRUE,3,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,146e72ec-1b92-49a9-9efa-cb5ea26b4647,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,86889edb-dec3-48aa-96fa-59ba82a01876,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,9c17e340-9de5-4d3a-af75-035ba875906f,NA,NA,NA,TRUE,4,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,751c217b-774c-4d4e-b65c-a94f2019c51a,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,09652547-76ce-44ae-84ec-b04fc1490c19,NA,NA,NA,FALSE,0,NA,0,Not started,175372,2018-08-13 18:30:22 UTC,I prefer not to say,NA,NA,NA,NA
6,adbf6037-12db-41bf-afbd-3782d7905efd,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,e7a79c65-fcf1-41a8-a7fd-043f82cb64f7,NA,NA,NA,TRUE,62,3,3,Later,NA,NA,NA,NA,NA,NA,NA
6,5e95003e-8572-432e-b695-b74c49ce27c0,NA,NA,NA,TRUE,4,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,f1a18cd7-5610-413c-96c1-3a446802ea12,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,ed42eb87-3593-4935-9c45-d962e4248723,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,89753868-bcc1-4bf7-9f54-29d52af4fcd8,IN,36-45,university_degree,TRUE,3,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,cbae2e65-dcd9-46e1-a952-20d9b19d6b9f,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,de3708aa-b594-44df-8358-c3be4560a2e7,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,ce9b8890-3ca5-453e-bef6-72f920f18c22,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,fd49526c-9d96-46ed-86ef-9f4167443650,NA,NA,NA,TRUE,59,3,3,Later,NA,NA,NA,NA,NA,NA,NA
6,514372cf-077e-4e11-b4b9-8d15b20e542a,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,b60d2833-ef04-4c6c-a191-752ff0070c7b,NA,NA,NA,TRUE,2,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,e8d290f6-4a10-4693-b186-7bb4334ebd14,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,590103d3-d790-41d6-80a2-0bae7dda7aaa,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,b25f84ef-b07e-43c0-b4bf-178bcd6f4b4a,NA,NA,NA,TRUE,4,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,29db8ae6-6787-4a57-80ad-345f3ba95121,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,04ac104a-b513-42c8-bc6e-01131d07b1e5,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
